OrderID,ProductID,CustomerID,OrderDate,ProductCategoryID,SupplierID,CustomerName,CustomerCountry,ProductName,SupplierName,UnitPrice,Quantity,Discount,NetLineRevenue
10248,11,VINET,1994-08-04,4,5,Vins et alcools Chevalier,France,Queso Cabrales,Cooperativa de Quesos 'Las Cabras',14,12,0,168
10248,42,VINET,1994-08-04,5,20,Vins et alcools Chevalier,France,Singaporean Hokkien Fried Mee,Leka Trading,9.8,10,0,98
10248,72,VINET,1994-08-04,4,14,Vins et alcools Chevalier,France,Mozzarella di Giovanni,Formaggi Fortini s.r.l.,34.8,5,0,174
10249,14,TOMSP,1994-08-05,7,6,Toms Spezialitäten,Germany,Tofu,Mayumi's,18.6,9,0,167.4
10249,51,TOMSP,1994-08-05,7,24,Toms Spezialitäten,Germany,Manjimup Dried Apples,"G'day, Mate",42.4,40,0,1696
10250,41,HANAR,1994-08-08,8,19,Hanari Carnes,Brazil,Jack's New England Clam Chowder,New England Seafood Cannery,7.7,10,0,77
10250,51,HANAR,1994-08-08,7,24,Hanari Carnes,Brazil,Manjimup Dried Apples,"G'day, Mate",42.4,35,0.15,1261.3999999999999
10250,65,HANAR,1994-08-08,2,2,Hanari Carnes,Brazil,Louisiana Fiery Hot Pepper Sauce,New Orleans Cajun Delights,16.8,15,0.15,214.2
10251,22,VICTE,1994-08-08,5,9,Victuailles en stock,France,Gustaf's Knäckebröd,PB Knäckebröd AB,16.8,6,0.05,95.76
10251,57,VICTE,1994-08-08,5,26,Victuailles en stock,France,Ravioli Angelo,Pasta Buttini s.r.l.,15.6,15,0.05,222.29999999999998
10251,65,VICTE,1994-08-08,2,2,Victuailles en stock,France,Louisiana Fiery Hot Pepper Sauce,New Orleans Cajun Delights,16.8,20,0,336
10252,20,SUPRD,1994-08-09,3,8,Suprêmes délices,Belgium,Sir Rodney's Marmalade,"Specialty Biscuits, Ltd.",64.8,40,0.05,2462.4
10252,33,SUPRD,1994-08-09,4,15,Suprêmes délices,Belgium,Geitost,Norske Meierier,2,25,0.05,47.5
10252,60,SUPRD,1994-08-09,4,28,Suprêmes délices,Belgium,Camembert Pierrot,Gai pâturage,27.2,40,0,1088
10253,31,HANAR,1994-08-10,4,14,Hanari Carnes,Brazil,Gorgonzola Telino,Formaggi Fortini s.r.l.,10,20,0,200
10253,39,HANAR,1994-08-10,1,18,Hanari Carnes,Brazil,Chartreuse verte,Aux joyeux ecclésiastiques,14.4,42,0,604.8000000000001
10253,49,HANAR,1994-08-10,3,23,Hanari Carnes,Brazil,Maxilaku,Karkki Oy,16,40,0,640
10254,24,CHOPS,1994-08-11,1,10,Chop-suey Chinese,Switzerland,Guaraná Fantástica,Refrescos Americanas LTDA,3.6,15,0.15,45.9
10254,55,CHOPS,1994-08-11,6,25,Chop-suey Chinese,Switzerland,Pâté chinois,Ma Maison,19.2,21,0.15,342.71999999999997
10254,74,CHOPS,1994-08-11,7,4,Chop-suey Chinese,Switzerland,Longlife Tofu,Tokyo Traders,8,21,0,168
